Source,Target,Label
0,1,1
2,3,21
2,4,21
5,6,25
5,7,25
8,9,14
10,11,9
12,13,14
12,14,14
15,16,17
17,18,1
12,19,14
20,21,9
20,22,9
23,24,11
23,25,11
23,26,11
23,27,11
23,28,11
23,29,11
23,30,11
23,31,11
23,32,11
23,33,11
23,34,11
23,35,11
23,36,11
23,37,11
23,38,11
23,39,11
23,40,11
41,42,5
43,44,14
45,46,17
47,48,10
49,50,36
41,51,5
52,53,7
54,55,22
54,56,22
54,57,22
54,58,22
54,59,22
60,61,7
54,54,22
62,63,36
64,65,25
62,4,36
66,67,8
68,69,15
42,41,34
70,71,37
72,21,9
71,70,37
73,74,1
75,76,10
75,48,10
77,78,3
77,79,3
80,81,29
80,68,29
19,62,14
82,83,36
22,21,9
82,84,36
21,72,9
41,85,5
41,86,5
41,87,5
82,86,36
88,89,20
90,91,8
92,20,9
41,93,5
41,94,5
41,95,5
89,96,20
89,88,20
97,98,16
97,99,16
97,100,16
97,101,16
97,102,16
103,104,7
51,41,5
82,105,36
90,106,8
62,107,36
108,109,8
108,66,8
108,110,8
108,111,8
108,112,8
113,114,10
115,116,13
117,118,6
76,119,10
17,120,1
82,121,36
122,123,0
14,12,4
124,125,16
13,126,26
127,128,6
127,129,6
127,130,6
131,132,28
40,26,11
40,29,11
18,133,1
56,55,21
56,54,21
56,59,21
134,6,2
115,62,13
135,136,13
137,138,21
137,137,21
22,20,9
139,140,17
141,142,14
143,143,8
143,51,8
143,133,8
144,145,40
146,147,15
83,82,36
148,149,0
150,103,7
150,150,7
49,84,36
151,28,10
152,153,37
153,152,27
154,155,35
156,157,0
139,15,17
158,159,19
4,2,21
4,3,21
133,18,4
160,161,36
84,162,37
84,50,37
84,49,37
84,71,37
72,163,9
164,139,17
165,166,13
167,168,4
123,122,13
169,115,13
169,170,13
40,171,11
123,103,13
123,172,13
123,61,13
123,123,13
24,96,11
81,80,15
173,21,38
174,175,32
176,177,4
176,178,4
122,179,0
21,22,9
180,130,0
181,182,7
129,183,4
184,184,15
181,179,7
185,52,16
70,186,37
106,187,38
137,175,21
137,174,21
188,189,15
108,190,8
191,157,0
191,191,0
192,193,21
192,194,21
192,195,21
192,2,21
192,192,21
41,196,5
41,197,5
41,198,5
41,199,5
41,200,5
41,167,5
41,201,5
41,202,5
41,203,5
41,204,5
41,205,5
41,206,5
41,207,5
208,208,22
61,123,7
209,210,19
41,128,5
211,54,22
115,212,13
106,189,38
137,208,21
212,115,34
56,58,21
30,25,11
30,36,11
30,41,11
155,213,35
48,47,10
214,180,0
96,24,20
4,4,21
4,62,21
155,215,35
216,15,17
170,170,13
71,217,37
71,50,37
71,49,37
13,13,26
98,97,16
74,1,1
74,218,1
74,219,1
74,215,1
74,220,1
74,221,1
74,222,1
74,223,1
74,18,1
74,224,1
74,225,1
74,226,1
74,227,1
74,17,1
74,228,1
229,64,10
100,97,16
230,21,23
230,20,23
231,232,0
233,209,19
233,234,19
